composer,era
John Christopher Smith,renaissance to baroque
John Stanley,renaissance to baroque
Antoine Dauvergne,renaissance to baroque
Johan Henrik Freithoff,renaissance to baroque
Johann Ludwig Krebs,renaissance to baroque
Johann Nicolaus Mempel,renaissance to baroque
Carl Philipp Emanuel Bach,renaissance to baroque
Christoph Willibald Gluck,renaissance to baroque
John Alcock,renaissance to baroque
Jacques Duphly,renaissance to baroque
Josef Seger,renaissance to baroque
Princess Philippine Charlotte of Prussia,renaissance to baroque
Johann Wenzel Anton Stamitz,renaissance to baroque
Richard Mudge,renaissance to baroque
Pieter Hellendaal,renaissance to baroque
Anna Amalia Abbess of Quedlinburg,renaissance to baroque
Rafael Antonio Castellanos,renaissance to baroque
Santa della Pietà,renaissance to baroque
Karl Kohaut,renaissance to baroque
Pierre van Maldere,renaissance to baroque
Antonio Soler,renaissance to baroque
Capel Bond,renaissance to baroque
## Early Baroque era composers (born 1550-99),early baroque
Charles Tessier,early baroque
Thomas Mancinus,early baroque
Ippolito Baccusi,early baroque
Emilio de' Cavalieri,early baroque
Cesario Gussago,early baroque
Pomponio Nenna,early baroque
Riccardo Rognoni,early baroque
David Sacerdote,early baroque
Ruggiero Trofeo,early baroque
Orazio Vecchi,early baroque
Tomasz Szadek,early baroque
Krzysztof Klabon,early baroque
Gregory,early baroque
Pedro de Cristo,early baroque
Vicente Espinel,early baroque
Juan Navarro,early baroque
Ambrosio Cotes,early baroque
Sebastián Raval,early baroque
Jan Trojan Turnovský,early baroque
Pavel Spongopaeus Jistebnický,early baroque
Giulio Caccini,early baroque
Benedetto Pallavicino,early baroque
Girolamo Belli,early baroque
Edmund Hooper,early baroque
Johannes Eccard,early baroque
Leonhard Lechner,early baroque
Elway Bevin,early baroque
William Inglot,early baroque
Emmanuel Adriaenssen,early baroque
Cosimo Bottegari,early baroque
Girolamo Diruta,early baroque
Giovanni Giacomo Gastoldi,early baroque
Giovanni Gabrieli,early baroque
John Mundy,early baroque
Jacques Champion Sieur de la Chapelle,early baroque
Gabriele Villani,early baroque
Manuel Rodrigues Coelho,early baroque
Paolo Quagliati,early baroque
Alonso Lobo,early baroque
Johannes Nucius,early baroque
Thomas Morley,early baroque
Carolus Luython,early baroque
Jacques Mauduit,early baroque
Giovanni Croce,early baroque
Alfonso Fontanelli,early baroque
Wojciech Długoraj,early baroque
Nathaniel Giles,early baroque
Matthew Jeffries,early baroque
Ferdinando Richardson,early baroque
Richard Carlton,early baroque
Philippus Schoendorff,early baroque
Giovanni Bassano,early baroque
Scipione Stella,early baroque
Richard Allison,early baroque
Felice Anerio,early baroque
Giulio Belli,early baroque
William Brade,early baroque
William Cobbold,early baroque
James Harding,early baroque
Diomedes Cato,early baroque
Camillo Lambardi,early baroque
Giovanni Bernardino Nanino,early baroque
Peter Philips,early baroque
Hieronymus Praetorius,early baroque
August Nörmiger,early baroque
Thomas Robinson,early baroque
Lodovico Grossi da Viadana,early baroque
Scipione Dentice,early baroque
Carlo Gesualdo,early baroque
Ruggiero Giovannelli,early baroque
Antonio II Verso,early baroque
Leone Leoni,early baroque
Petrus de Drusina,early baroque
Juan Esquivel Barahona,early baroque
Elias Mertel,early baroque
Sebastian Aguilera de Heredia,early baroque
Jacopo Peri,early baroque
Francesco Usper or Francesco Sponga,early baroque
John Bull,early baroque
Jan Pieterszoon Sweelinck,early baroque
Andreas Raselius,early baroque
Jean Titelouze,early baroque
John Dowland,early baroque
Giles Farnaby,early baroque
John Milton,early baroque
Cornelis Verdonck,early baroque
John Danyel,early baroque
Hans Leo Hassler,early baroque
Kryštof Harant z Polžic a Bezdružic,early baroque
Giulio Cesare Martinengo,early baroque
John Hilton,early baroque
Michael Cavendish,early baroque
John Farmer,early baroque
George Kirbye,early baroque
William Leighton,early baroque
Leonard Woodson,early baroque
Gregor Aichinger,early baroque
Duarte Lobo,early baroque
Erasmo Marotta,early baroque
Ascanio Mayone,early baroque
Giovanni Pietro Flaccomio,early baroque
Simone Molinaro,early baroque
Francis Pilkington,early baroque
Manuel Cardoso,early baroque
Gaspar Fernandes or Fernández,early baroque
Alessandro Piccinini,early baroque
Lucia Quinciani,early baroque
Giovanni Francesco Anerio,early baroque
Thomas Campion,early baroque
Christoph Demantius,early baroque
Jean-Baptiste Besard,early baroque
Nicolas Formé,early baroque
Girolamo Giacobbi,early baroque
Joachim van den Hove,early baroque
René Mesangeau,early baroque
Lorenzo Allegri,early baroque
Giovanni Francesco Anerio,early baroque
Claudio Monteverdi,early baroque
Edward Gibbons,early baroque
Richard Gibbs,early baroque
Philip Rosseter,early baroque
Adriano Banchieri,early baroque
Bartolomeo Barbarino,early baroque
Joan Baptista Comes,early baroque
Christian Erbach,early baroque
Tobias Hume,early baroque
Ottavio Vernizzi,early baroque
"Orazio Bassani ""Orazio della Viola""",early baroque
Thomas Bateson,early baroque
Benjamin Cosyn,early baroque
Giovanni Paolo Cima,early baroque
Peeter Cornet,early baroque
Pierre Guédron,early baroque
Paul Peuerl,early baroque
Joan Pau Pujol,early baroque
Salamone Rossi,early baroque
Girolamo Bartei,early baroque
Claudia Sessa,early baroque
Giovanni Battista Fontana,early baroque
Thomas Lupo,early baroque
Filipe de Magalhães,early baroque
Giovanni Picchi,early baroque
Michael Praetorius,early baroque
John Ward,early baroque
Edward Johnson,early baroque
Daniel Bacheler,early baroque
Martin Peerson,early baroque
Thomas Tomkins,early baroque
Moritz von Hessen-Kassel,early baroque
Erasmus Widmann,early baroque
Salvatore Sacco,early baroque
Ellis Gibbons,early baroque
Géry de Ghersem,early baroque
Cesarina Ricci de Tingoli,early baroque
Claudio Pari,early baroque
Francesco Rasi,early baroque
John Wilbye,early baroque
Andreas Hakenberger,early baroque
John Bennet,early baroque
Vittoria Aleotti,early baroque
Abundio Antonelli,early baroque
Robert Ballard,early baroque
Estêvão de Brito,early baroque
John Coprario or John Cooper,early baroque
Ignazio Donati,early baroque
Daniel Farrant,early baroque
Alfonso Ferrabosco the younger,early baroque
Michelagnolo Galilei,early baroque
Ennemond Gaultier le Vieux Gaultier,early baroque
Johann Groh?,early baroque
Léonard de Hodémont,early baroque
Esteban López Morago or Estêvão Lopes Morago,early baroque
Giovanni Priuli,early baroque
Mateo Romero or Mathieu Rosmarin,early baroque
William Simmes,early baroque
Giovanni Maria Trabaci,early baroque
Thomas Weelkes,early baroque
John Maynard,early baroque
Robert Jones,early baroque
Stefano Bernardi,early baroque
Antonio Brunelli,early baroque
Sulpitia Cesis,early baroque
Agostino Agazzari,early baroque
John Amner,early baroque
Melchior Franck,early baroque
Adriana Basile,early baroque
Domenico Brunetti,early baroque
Andrea Cima or Giovanni Andrea Cima,early baroque
Jacques Cordier,early baroque
Richard Dering,early baroque
Michael East,early baroque
Thomas Ford,early baroque
John Lugg,early baroque
Johannes Hieronymus Kapsberger or Giovanni Girolamo Kapsperger,early baroque
Johann Stobäus,early baroque
Vincenzo Ugolini,early baroque
Bellerofonte Castaldi,early baroque
Johannes Jeep,early baroque
Johann Staden,early baroque
Gregorio Allegri,early baroque
Severo Bonini,early baroque
Marco da Gagliano,early baroque
Sigismondo d'India,early baroque
Thomas Ravenscroft,early baroque
Thomas Simpson,early baroque
Giovanni Valentini,early baroque
Paolo Agostino or Agostini,early baroque
Girolamo Frescobaldi,early baroque
Orlando Gibbons,early baroque
Robert Johnson,early baroque
Johann Daniel Mylius,early baroque
Mogens Pedersøn,early baroque
Nicolas Vallet,early baroque
Michael Altenburg,early baroque
Antonio Cifra,early baroque
Francisco Correa de Arauxo,early baroque
Daniel Friderici,early baroque
Walter Rowe?,early baroque
Louis Constantin,early baroque
Nicolò Corradini,early baroque
Andrea Falconieri,early baroque
Johann Grabbe,early baroque
Peter Hasse,early baroque
Heinrich Schütz,early baroque
Francesco Rognoni,early baroque
Domenico Allegri,early baroque
Antoine Boësset Sieur de Villedieu,early baroque
Alessandro Grandi,early baroque
Stefano Landi,early baroque
Jacob Praetorius,early baroque
Claudio Saracini,early baroque
Johann Schein,early baroque
Paul Siefert,early baroque
John Adson,early baroque
Francesca Caccini,early baroque
Ivan Lukačić,early baroque
Samuel Scheidt,early baroque
Guillaume Bouzignac,early baroque
Walter Porter,early baroque
Francesco Colombini?,early baroque
Johann Andreas Herbst,early baroque
Nicholas Lanier,early baroque
Marin Mersenne,early baroque
John Tomkins,early baroque
Guilielmus Messaus,early baroque
Francesco Turini,early baroque
Caterina Assandra,early baroque
Artus Aux-Cousteaux,early baroque
Giovanni Pietro Berti,early baroque
Dario Castello,early baroque
Giovanni Martino Cesare,early baroque
Andreas Chyliński or Andrzej Chyliński,early baroque
Jacob van Eyck,early baroque
Juan Gutiérrez de Padilla,early baroque
Adam Jarzębski,early baroque
Manuel Machado,early baroque
Carlo Milanuzzi,early baroque
Johann Schop,early baroque
Johannes Thesselius,early baroque
Lucrezia Orsina Vizzana,early baroque
Robert Ramsey,early baroque
Richard Mico,early baroque
Nicolò Borbone or Borboni,early baroque
Settimia Caccini,early baroque
Robert Dowland,early baroque
Isaac Posch,early baroque
Cornelis Padbrué,early baroque
Jacques Gaultier,early baroque
John Jenkins,early baroque
Domenico Mazzocchi,early baroque
Melchior Schildt,early baroque
Claudia Rusca,early baroque
Gottfried Scheidt,early baroque
Johann Ulrich Steigleder,early baroque
Francesco Manelli,early baroque
Biagio Marini,early baroque
"Orazio Michi ""Orazio dell'Arpa""",early baroque
Tarquinio Merula,early baroque
Antonio Maria Abbatini,early baroque
Giovanni Battista Buonamente,early baroque
Henry Lawes,early baroque
John Okeover or Oker,early baroque
Bartolomé de Selma y Salaverde,early baroque
Heinrich Scheidemann,early baroque
John Wilson,early baroque
Constantijn Huygens,early baroque
Giovanni Rovetta,early baroque
Andreas Düben,early baroque
Virgilio Mazzocchi,early baroque
Charles Racquet,early baroque
Luigi Rossi,early baroque
Johann Crüger,early baroque
Giovanni Battista Fasolo,early baroque
Pierre Gaultier d'Orleans,early baroque
John Hilton the younger,early baroque
Étienne Moulinié,early baroque
Thomas Selle,early baroque
John Marchant,early baroque
Richard Martin,early baroque
Girolamo Dalla Casa,early baroque
William Tisdale,early baroque
Henry Lichfild,early baroque
John Bartlet,early baroque
Thomas Greaves,early baroque
Richard Sumarte,early baroque
Richard Nicholson,early baroque
Thomas Vautor,early baroque
Henry Youll,early baroque
George Handford,early baroque
Robert Tailour,early baroque
Charles Coleman,early baroque
William Corkine,early baroque
Juan Arañés,early baroque
Giovanni Battista Grillo,early baroque
Marcantonio Negri,early baroque
Giovanni Battista Riccio,early baroque
Giuseppe Scarani,early baroque
Adam z Wągrowca,early baroque
Mikołaj Zieleński,early baroque
## Middle Baroque era composers (born 1600-49),middle baroque
Mlle Bocquet,middle baroque
Alessandro Poglietti,middle baroque
Manuel Correia,middle baroque
Bonaventura Rubino,middle baroque
Girolamo Fantini?,middle baroque
Simon Ives,middle baroque
Nicolaus à Kempis,middle baroque
Adam Václav Michna z Otradovic,middle baroque
Marcin Mielczewski,middle baroque
Carlos Patiño,middle baroque
Martino Pesenti?,middle baroque
Giovanni Felice Sances,middle baroque
Marco Scacchi,middle baroque
Delphin Strungk,middle baroque
Jacques Champion de Chambonnières,middle baroque
Michelangelo Rossi,middle baroque
Francesco Cavalli,middle baroque
Chiara Margarita Cozzolani,middle baroque
William Lawes,middle baroque
Marco Marazzoli,middle baroque
Abraham Megerle,middle baroque
Christopher Simpson,middle baroque
Orazio Tarditi?,middle baroque
Benedetto Ferrari,middle baroque
Francesco Foggia,middle baroque
Denis Gaultier Gaultier le jeune,middle baroque
John IV of Portugal,middle baroque
Caspar Kittel,middle baroque
Natale Monferrato,middle baroque
Diego Pontac,middle baroque
Marco Uccellini,middle baroque
Heinrich Albert,middle baroque
François Dufault,middle baroque
Bonifatio Gratiani?,middle baroque
Charles d'Assoucy,middle baroque
Orazio Benevoli,middle baroque
Antonio Bertali,middle baroque
Giacomo Carissimi,middle baroque
Francesco Sacrati,middle baroque
Johann Vierdanck,middle baroque
William Child,middle baroque
Michel de La Guerre,middle baroque
Aldebrando Subissati?,middle baroque
Urbán de Vargas,middle baroque
Philipp Friedrich Böddecker,middle baroque
Sigmund Theophil Staden,middle baroque
Ferdinand III Holy Roman Emperor,middle baroque
Luigi Battiferri?,middle baroque
Leonora Duarte,middle baroque
Henri Du Mont,middle baroque
Jacques de Gouy,middle baroque
Nicolas Hotman,middle baroque
George Jeffreys,middle baroque
Michel Lambert,middle baroque
Sébastien Le Camus,middle baroque
Nicolas Métru,middle baroque
João Lourenço Rebelo,middle baroque
William Young,middle baroque
Leonora Baroni,middle baroque
Thomas Brewer,middle baroque
Pablo Bruna,middle baroque
Andreas Hammerschmidt,middle baroque
Wolfgang Ebner,middle baroque
Elisabeth Sophie Duchess of Brunswick-Lüneburg,middle baroque
Wilhelm Karges,middle baroque
Thomas Mace,middle baroque
Louis de Mollier,middle baroque
Giovanni Antonio Rigatti,middle baroque
Jean-Baptiste Boësset Sieur de Dehault,middle baroque
Philipp Friedrich Buchner,middle baroque
Juan Hidalgo de Polanco,middle baroque
Marc'Antonio Pasqualini,middle baroque
Franz Tunder,middle baroque
Yatsuhashi Kengyo,middle baroque
Francesca Campana,middle baroque
Heinrich Bach,middle baroque
Angelo Michele Bartolotti,middle baroque
Francesco Corbetta,middle baroque
Christopher Gibbons,middle baroque
Francisco López Capillas,middle baroque
Maurizio Cazzati,middle baroque
Kaspar Förster,middle baroque
Johann Jakob Froberger,middle baroque
Johann Erasmus Kindermann,middle baroque
Jacques de Saint-Luc,middle baroque
Matthias Weckmann,middle baroque
Carlo Caproli,middle baroque
Nicolaus Hasse?,middle baroque
Francisco Martins,middle baroque
Joan Cererols,middle baroque
Abraham van den Kerckhoven,middle baroque
José Marín,middle baroque
Pierre Robert,middle baroque
Giulio Cesare Arresti?,middle baroque
Anthoni van Noordt,middle baroque
Johann Rosenmüller,middle baroque
Barbara Strozzi,middle baroque
Juan García de Zéspedes,middle baroque
Johannes Baptista Dolar also Janez Krstnik Dolar or Jan Křtitel Tolar,middle baroque
Adam Drese,middle baroque
Giovanni Battista Granata,middle baroque
Isabella Leonarda,middle baroque
Johann Heinrich Schmelzer,middle baroque
Georg Arnold,middle baroque
Albertus Bryne,middle baroque
Matthew Locke,middle baroque
Georg Neumark,middle baroque
Heinrich Schwemmer,middle baroque
Ercole Bernabei,middle baroque
Jean Lacquemant?,middle baroque
Gaspar de Verlit,middle baroque
Dietrich Becker,middle baroque
Antonio Cesti,middle baroque
Jacopo Melani,middle baroque
David Pohle,middle baroque
Francesco Provenzale,middle baroque
François Roberday,middle baroque
Johann Rudolf Ahle,middle baroque
Jacques Gallot,middle baroque
Marco Giuseppe Peranda,middle baroque
Wolfgang Carl Briegel,middle baroque
Louis Couperin,middle baroque
Christian Flor?,middle baroque
Giovanni Legrenzi,middle baroque
Charles Mouton,middle baroque
Lucas Ruiz de Ribayaz,middle baroque
Nicolas Gigault,middle baroque
Johann Caspar Kerll,middle baroque
Christoph Bernhard,middle baroque
Robert Cambert,middle baroque
Samuel Capricornus,middle baroque
Constantin Christian Dedekind,middle baroque
Gustaf Düben,middle baroque
Paul Hainlein?,middle baroque
Jean-Henri d'Anglebert,middle baroque
Lelio Colista,middle baroque
Lady Mary Dering,middle baroque
Andreas Hofer,middle baroque
Johann Michael Nicolai?,middle baroque
John Banister,middle baroque
Cristóbal Galán,middle baroque
Filipe da Madre de Deus,middle baroque
Carlo Pallavicino,middle baroque
Giovanni Antonio Pandolfi Mealli,middle baroque
Antonio Sartorio,middle baroque
Vincenzo Albrici,middle baroque
Thomas Baltzar,middle baroque
Nicolas Lebègue,middle baroque
Sebastian Anton Scherer,middle baroque
Francesco Antonio Urio,middle baroque
Jean-Baptiste Lully,middle baroque
Guillaume-Gabriel Nivers,middle baroque
Giovanni Battista Vitali,middle baroque
Jean-Nicolas Geoffroy,middle baroque
Sebastian Knüpfer,middle baroque
Pavel Josef Vejvanovský,middle baroque
Clamor Heinrich Abel,middle baroque
Antonio Draghi,middle baroque
Carlo Grossi,middle baroque
Adam Krieger,middle baroque
Andrés de Sola?,middle baroque
Pietro Simone Agostini?,middle baroque
Lambert Chaumont,middle baroque
Daniel Danielis,middle baroque
Johann Wilhelm Furchheim,middle baroque
Miguel de Irízar,middle baroque
Joannes Florentius a Kempis,middle baroque
Paul I Prince Esterházy of Galántha,middle baroque
Augustin Pfleger,middle baroque
Jacek Różycki,middle baroque
Angelo Berardi,middle baroque
Giovanni Battista degli Antonii or degli Antoni,middle baroque
Esaias Reusner,middle baroque
Dieterich Buxtehude,middle baroque
Giovanni Paolo Colonna,middle baroque
Johann Georg Ebeling,middle baroque
Giovanni Maria Pagliardi?,middle baroque
Bernardo Pasquini,middle baroque
Diogo Dias Melgás,middle baroque
Giovanni Buonaventura Viviani,middle baroque
Alessandro Stradella,middle baroque
Pietro degli Antonii?,middle baroque
António Marques Lésbio?,middle baroque
Alessandro Melani,middle baroque
Johann Christoph Pezel,middle baroque
Juan García de Salazar,middle baroque
Alessandro Stradella,middle baroque
Amalia Catharina Countess of Erbach,middle baroque
Antonia Bembo,middle baroque
Cristoforo Caresana,middle baroque
Giovanni Battista Draghi,middle baroque
Carolus Hacquart,middle baroque
Leopold I Holy Roman Emperor,middle baroque
Paolo Lorenzani,middle baroque
André Raison,middle baroque
Carl Rosier?,middle baroque
Monsieur de Sainte-Colombe,middle baroque
Gaspar Sanz,middle baroque
Nicolaus Adam Strungk,middle baroque
Esther Elizabeth Velkiers,middle baroque
Maria Francesca Nascinbeni,middle baroque
Wolfgang Caspar Printz,middle baroque
Johann Friedrich Alberti,middle baroque
Georg Christoph Bach,middle baroque
Johann Christoph Bach,middle baroque
Giovanni Maria Bononcini,middle baroque
Benedictus Buns or Benedictus a Sancto Josepho,middle baroque
Michelangelo Falvetti,middle baroque
Friedrich Funcke,middle baroque
Marc-Antoine Charpentier,middle baroque
Johann Adam Reincken,middle baroque
Ignazio Albertini,middle baroque
Heinrich Ignaz Franz von Biber,middle baroque
Juan Bautista Cabanilles,middle baroque
Maria Cattarina Calegari,middle baroque
Johann Samuel Drese,middle baroque
Johann Wolfgang Franck,middle baroque
Tomás de Torrejón y Velasco,middle baroque
Johann Georg Conradi,middle baroque
August Kühnel,middle baroque
Johann Löhner?,middle baroque
Carlo Ambrogio Lonati,middle baroque
Christian Ritter,middle baroque
Andreas Werckmeister,middle baroque
Juan de Araujo,middle baroque
Johann Fischer,middle baroque
Rupert Ignaz Mayr,middle baroque
René Pignon Descoteaux,middle baroque
Johann Theile,middle baroque
Pelham Humfrey,middle baroque
Antonio Teodoro Ortells?,middle baroque
Michael Wise,middle baroque
Johann Michael Bach,middle baroque
Johann Melchior Caesar,middle baroque
Giovanni Maria Capelli?,middle baroque
David Funck,middle baroque
Johann Schelle,middle baroque
Poul Christian Schindler,middle baroque
Giuseppe Antonio Bernabei?,middle baroque
John Blow,middle baroque
Jacques Boyvin,middle baroque
Pieter Bustijn,middle baroque
Pascal Collasse,middle baroque
Michel Farinel?,middle baroque
Francesc Guerau,middle baroque
Andreas Kneller,middle baroque
Johann Philipp Krieger,middle baroque
Johann Valentin Meder,middle baroque
Pedro de Araújo,middle baroque
Alba Trissina,middle baroque
Bartholomäus Aich,middle baroque
Gioan Pietro Del Buono?,middle baroque
John Gamble,middle baroque
Gervise Gerrard,middle baroque
Bernardo Gianoncelli,middle baroque
Louis Grabu,middle baroque
Nicola Matteis,middle baroque
Peter Mohrhardt?,middle baroque
Bartłomiej Pękiel,middle baroque
Bernardo Sabadini,middle baroque
Louis Saladin,middle baroque
Bernardo Storace,middle baroque
August Verdufen or Werduwen,middle baroque
## Late Baroque ear composers (born 1650-99),late baroque
Cataldo Amodei,late baroque
Giovanni Battista Bassani,late baroque
Giovanni Battista Brevi,late baroque
Christian Geist,late baroque
Johann Anton Losy von Losinthal or Comte d'Logy,late baroque
Guillaume Minoret,late baroque
Juan Francisco de Navas,late baroque
Antonio de Salazar,late baroque
Stanisław Sylwester Szarzyński,late baroque
Pietro Torri,late baroque
Robert de Visée,late baroque
Johann Jacob Walther,late baroque
Johann Georg Ahle,late baroque
Petronio Franceschini,late baroque
Domenico Gabrielli,late baroque
Gilles Jullien,late baroque
Johann Krieger,late baroque
Jean-François Lalouette,late baroque
David Petersen,late baroque
Ferdinand Tobias Richter,late baroque
William Turner,late baroque
Johann Philipp Förtsch,late baroque
Romanus Weichlein?,late baroque
John Abell,late baroque
Arcangelo Corelli,late baroque
Georg Muffat,late baroque
Johann Pachelbel,late baroque
Carlo Francesco Pollarolo,late baroque
Johann Christoph Rothe,late baroque
Agostino Steffani,late baroque
Marc'Antonio Ziani,late baroque
Pietro Antonio Fiocco,late baroque
Servaes de Koninck,late baroque
Christian Liebe,late baroque
Vincent Lübeck,late baroque
Pablo Nassarre,late baroque
Ludovico Roncalli,late baroque
Sébastien de Brossard,late baroque
Ruggiero Fedeli,late baroque
Juan Serqueira de Lima,late baroque
Johann Caspar Ferdinand Fischer,late baroque
Marin Marais,late baroque
Jean-Baptiste Moreau,late baroque
James Paisible or Jacques Paisible,late baroque
Robert de Visée,late baroque
Georg Reutter,late baroque
Thomas Tudway,late baroque
Matías Juan de Veana,late baroque
Johann Paul von Westhoff,late baroque
Philipp Heinrich Erlebach,late baroque
Michel-Richard de Lalande or Delalande,late baroque
Gaetano Greco,late baroque
Giuseppe Ottavio Pitoni,late baroque
Damian Stachowicz?,late baroque
Giuseppe Torelli,late baroque
Sybrandus van Noordt,late baroque
Henry Purcell,late baroque
Francesco Antonio Pistocchi,late baroque
Theodor Schwartzkopff,late baroque
Antonio Veracini,late baroque
Henrico Albicastro or Johann Heinrich von Weissenburg,late baroque
Rosa Giacinta Badalla,late baroque
Francesco Ballaroti,late baroque
Bartolomeo Bernardi?,late baroque
André Campra,late baroque
Jerónimo de Carrión,late baroque
Sebastián Durón,late baroque
Gottfried Finger,late baroque
Johann Joseph Fux,late baroque
Friedrich Gottlieb Klingenberg,late baroque
Johann Kuhnau,late baroque
Johann Sigismund Kusser,late baroque
Gaspard Le Roux,late baroque
Monsieur de Sainte-Colombe le fils,late baroque
Alessandro Scarlatti,late baroque
Johannes Schenck,late baroque
Christian Friedrich Witt,late baroque
Georg Böhm,late baroque
Henri Desmarest,late baroque
Francesco Gasparini,late baroque
Giacomo Antonio Perti,late baroque
Giovanni Lorenzo Lulier,late baroque
Angiola Teresa Moratori Scanabecchi,late baroque
Pirro Capacelli Albergati,late baroque
Johann Nikolaus Hanff,late baroque
Franz Xaver Murschhauser,late baroque
Nicolas Siret,late baroque
Tomaso Antonio Vitali,late baroque
Friedrich Wilhelm Zachau or Zachow,late baroque
Nicolas Bernier,late baroque
Georg Dietrich Leyding or Leiding,late baroque
Louis Lully,late baroque
Michele Mascitti,late baroque
Georg Österreich,late baroque
Johann Christoph Pez,late baroque
Daniel Purcell,late baroque
Johann Speth,late baroque
"Filippo Amadei ""Pippo del Violoncello""",late baroque
Benedikt Anton Aufschnaiter,late baroque
Nicolaus Bruhns,late baroque
Grzegorz Gerwazy Gorczycki,late baroque
Élisabeth Jacquet de La Guerre,late baroque
Jean-Baptiste Lully fils,late baroque
Giovanni Maria Ruggieri,late baroque
José de Torres y Martínez Bravo,late baroque
Francisco Valls,late baroque
Gaetano Veneziano,late baroque
Domenico Zanatta,late baroque
Jean-Conrad Baustetter,late baroque
Attilio Ariosti,late baroque
Johann Heinrich Buttstett,late baroque
Alphonse d'Eve?,late baroque
Michelangelo Faggioli,late baroque
Jean-Féry Rebel,late baroque
Francesco Scarlatti,late baroque
Bernardo Tonini,late baroque
Georg Bronner,late baroque
Antonio Lotti,late baroque
Jean-Louis Lully,late baroque
Michel Pignolet de Montéclair,late baroque
Johann Christoph Pepusch,late baroque
François Couperin,late baroque
John Eccles,late baroque
Jean Gilles,late baroque
Giorgio Gentili?,late baroque
Georg von Bertouch,late baroque
Johann Nicolaus Bach,late baroque
Louis Marchand,late baroque
Alessandro Marcello,late baroque
Andreas Armsdorff,late baroque
Giuseppe Avitrano,late baroque
Giovanni Bononcini,late baroque
Giuseppe Boniventi?,late baroque
Christian Ludwig Boxberg,late baroque
Arnold Brunckhorst,late baroque
Louis de Caix d'Hervelois,late baroque
Antonio Caldara,late baroque
Turlough O'Carolan,late baroque
Charles Dieupart,late baroque
Henry Eccles,late baroque
David Kellner,late baroque
Richard Leveridge,late baroque
Benedetto Vinaccesi?,late baroque
Jean-Baptiste Volumier or Woulmyer,late baroque
Johann Hugo von Wilderer,late baroque
Tomaso Albinoni,late baroque
Giuseppe Aldrovandini,late baroque
Johann Christoph Bach,late baroque
Azzolino della Ciaja or della Ciaia,late baroque
Gaspard Corrette,late baroque
Antoine Forqueray,late baroque
Charles-Hubert Gervais,late baroque
Teodorico Pedrini,late baroque
Robert Valentine also known as Roberto Valentino,late baroque
Carlo Agostino Badia,late baroque
Francesco Antonio Bonporti,late baroque
André Cardinal Destouches,late baroque
Nicolas de Grigny,late baroque
Francesco Mancini,late baroque
Georg Caspar Schürmann,late baroque
Petrus Hercules Brehy or Pierre-Hercule Bréhy,late baroque
Antonio de Literes,late baroque
Santiago de Murcia,late baroque
Jeremiah Clarke,late baroque
Reinhard Keiser,late baroque
Pierre Dumage,late baroque
Jacques-Martin Hotteterre,late baroque
Evaristo Felice Dall'Abaco,late baroque
Michel de la Barre,late baroque
Louis de La Coste or Lacoste,late baroque
Pietro Paolo Laurenti?,late baroque
Giovanni Porta,late baroque
Obadiah Shuttleworth,late baroque
Francesco Venturini,late baroque
Johann Bernhard Bach,late baroque
Diogenio Bigaglia?,late baroque
Louis-Nicolas Clérambault,late baroque
Giacomo Facco,late baroque
Wolff Jakob Lauffensteiner,late baroque
Giuseppe Maria Orlandini,late baroque
John Weldon,late baroque
Johann Ludwig Bach,late baroque
Antonio Maria Bononcini,late baroque
Giovanni Carlo Maria Clari,late baroque
Johann Wilhelm Drese,late baroque
Francesco Nicola Fago,late baroque
Jean-Baptiste Morin,late baroque
Christian Petzold,late baroque
William Croft,late baroque
Ferdinando Antonio Lazzari,late baroque
Giovanni Antonio Piani?,late baroque
Antonio Vivaldi,late baroque
Manuel de Zumaya,late baroque
Georg Friedrich Kauffmann,late baroque
Domenico Sarro,late baroque
Pietro Filippo Scarlatti,late baroque
Johann Christian Schieferdecker,late baroque
Jan Dismas Zelenka,late baroque
Françoise-Charlotte de Senneterre Ménétou,late baroque
Toussaint Bertin de la Doué,late baroque
William Corbett,late baroque
Giuseppe Fedeli or Joseph Saggione,late baroque
Jean-Adam Guilain,late baroque
Jean-Baptiste Loeillet of London,late baroque
Giovanni Mossi,late baroque
Jean-Baptiste Stuck,late baroque
Emanuele d'Astorga,late baroque
Carl Heinrich Biber,late baroque
Francesco Bartolomeo Conti,late baroque
Johann Mattheson,late baroque
Anne Danican Philidor,late baroque
Giovanni Reali,late baroque
Georg Philipp Telemann,late baroque
Giuseppe Valentini,late baroque
Paolo Benedetto Bellinzani,late baroque
Giacobbe Cervetto,late baroque
Jean-François Dandrieu,late baroque
Jean-Joseph Mouret,late baroque
Valentin Rathgeber,late baroque
Pietro Baldassare,late baroque
Roque Ceruti,late baroque
Christoph Graupner,late baroque
Johann David Heinichen,late baroque
Jean-Philippe Rameau,late baroque
Giovanni Veneziano?,late baroque
François d'Agincourt,late baroque
François Bouvard,late baroque
Bohuslav Matěj Černohorský,late baroque
Francesco Durante,late baroque
Francesco Manfredini,late baroque
Johann Jacob de Neufville?,late baroque
Johann Theodor Roemhildt,late baroque
Johann Gottfried Walther,late baroque
Giuseppe Matteo Alberti,late baroque
Johann Sebastian Bach,late baroque
François Campion,late baroque
Louis-Antoine Dornel,late baroque
Lodovico Giustini,late baroque
George Frideric Handel,late baroque
Václav Gunther Jacob,late baroque
Jacques Loeillet,late baroque
